;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry;dst_center;vist_dist;trams_dist
479;Kawalerka ul.Rydlówka - osiedle Mate3ny 28,82 m2;Kraków , Podgórze;1 pokój;325000.0;28.82;11277.0;https://www.otodom.pl/oferta/kawalerka-ul-rydlowka-osiedle-mate3ny-28-82-m2-ID41zEs.html#de3f47c1fe;2020-02-05 18:36:01.699452;Osiedle;Kraków, Kraków , Podgórze, Osiedle;Podgórze, Kraków, województwo małopolskie, 30-537, Polska;(50.0430999, 19.9529614, 0.0);50.0430999;19.9529614;0.0;POINT (568213.855078951 242193.9243198894);2259;470.9595047880475;263.3467367020116
482;Przepiękny Apartament w centrum Krakowa 104,7m2;Kraków , Krowodrza;4 pokoje;1050000.0;104.7;10029.0;https://www.otodom.pl/oferta/przepiekny-apartament-w-centrum-krakowa-104-7m2-ID443Tz.html#de3f47c1fe;2020-02-05 18:36:01.699452;Krakowa;Kraków, Kraków , Krowodrza, Krakowa;Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska;(50.0707757, 19.9248071, 0.0);50.0707757;19.9248071;0.0;POINT (566160.5045714349 245244.7674069256);1438;1786.5194731970412;152.81512099634932
535;Plac Wolnica/ Bożego Ciała 32m2 + antresola !!!!;Kraków , Stare Miasto, Kazimierz;1 pokój;420000.0;32.1;13084.0;https://www.otodom.pl/oferta/plac-wolnica-bozego-ciala-32m2-antresola-ID43Z6L.html#e7b1ebfb0e;2020-02-05 18:36:03.457088;Wolnica;Kraków, Kraków , Stare Miasto, Kazimierz, Wolnica;Plac Wolnica, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-061, Polska;(50.0490741, 19.9444986, 0.0);50.0490741;19.9444986;0.0;POINT (567599.6979094637 242850.2640339555);1405;306.22319556949077;135.628643386832
560;Kawalerka, 1 pokój, 25 m2, Ruczaj, Piltza;Kraków , Dębniki, Ruczaj;1 pokój;249000.0;25.0;9960.0;https://www.otodom.pl/oferta/kawalerka-1-pokoj-25-m2-ruczaj-piltza-ID446V5.html#51e2ab8c8f;2020-02-05 18:36:04.210107;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163
587;2 pokoje Zabłocie ul. Ślusarska;Kraków , Podgórze;2 pokoje;750000.0;51.0;14706.0;https://www.otodom.pl/oferta/2-pokoje-zablocie-ul-slusarska-ID44gD5.html#a4ecda7d5f;2020-02-05 18:36:04.965411;Zabłocie;Kraków, Kraków , Podgórze, Zabłocie;Zabłocie, Podgórze, Kraków, województwo małopolskie, 30-705, Polska;(50.0510909, 19.9735024, 0.0);50.0510909;19.9735024;0.0;POINT (569672.6048377061 243101.0676127635);2764;85.35957135312616;481.0420837789601
599;2 pok + balkon! Zgoda na cesję! Prądnik Biały!;Kraków , Prądnik Biały;2 pokoje;329000.0;35.0;9400.0;https://www.otodom.pl/oferta/2-pok-balkon-zgoda-na-cesje-pradnik-bialy-ID44y33.html#a4ecda7d5f;2020-02-05 18:36:04.966408;Prądnika;Kraków, Kraków , Prądnik Biały, Prądnika;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.0955225, 19.9283169, 0.0);50.0955225;19.9283169;0.0;POINT (566377.4070532473 247998.4942823648);3900;4500.190004032419;779.7765063162345
614;Apartament Kraków ul. Zabłocie, ZABŁOCIE;Kraków , Podgórze;3 pokoje;998000.0;65.0;15354.0;https://www.otodom.pl/oferta/apartament-krakow-ul-zablocie-zablocie-ID44pNN.html#5a3ac0e744;2020-02-05 18:36:05.676517;"""Kraków""";"Kraków, Kraków , Podgórze, ""Kraków""";Kraków Płaszów, Peron 2 - moderniacja, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska;(50.0345327, 19.9754459, 0.0);50.0345327;19.9754459;0.0;POINT (569835.7166101226 241262.450246132);3976;1929.7407419703036;161.26094241811987
666;Apartament w nowej inwestycji Zbożowa/ Prądnicka;Kraków , Krowodrza;2 pokoje;584000.0;43.2;13519.0;https://www.otodom.pl/oferta/apartament-w-nowej-inwestycji-zbozowa-pradnicka-ID3HMUY.html#a613ca9287;2020-02-05 18:36:07.753382;Zbożowa;Kraków, Kraków , Krowodrza, Zbożowa;Zbożowa, Kleparz, Krowodrza, Kraków, województwo małopolskie, 30-002, Polska;(50.0786614, 19.9369787, 0.0);50.0786614;19.9369787;0.0;POINT (567020.2515605342 246132.112717892);1965;2665.4972518250024;230.60589874621414
667;2-pok z dużym tarasem! Ruczaj Czerwone Maki;Kraków , Dębniki, Ruczaj;2 pokoje;384900.0;48.0;8019.0;https://www.otodom.pl/oferta/2-pok-z-duzym-tarasem-ruczaj-czerwone-maki-ID44l4l.html#a613ca9287;2020-02-05 18:36:07.754379;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163
721;Mieszkanie, 79 m², Kraków;Kraków , Stare Miasto, Kazimierz;3 pokoje;960000.0;79.0;12152.0;https://www.otodom.pl/oferta/mieszkanie-79-m-krakow-ID41Xa3.html#83328eeb52;2020-02-05 18:36:09.240789;"""Kraków""";"Kraków, Kraków , Stare Miasto, Kazimierz, ""Kraków""";Biblioteka Kraków Filia 2, 29, Krakowska, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-062, Polska;(50.0491954, 19.9428537, 0.0);50.0491954;19.9428537;0.0;POINT (567481.800806875 242862.259914238);1358;381.05666371552473;134.37384611640653
