Jesionova mieszkanie B2M3;Kraków , Zwierzyniec;4 pokoje;Zapytaj o cenę;130,60 m²;https://www.otodom.pl/oferta/jesionova-mieszkanie-b2m3-ID42gIR.html#de3f47c1fe;2020-02-08 18:57:44.610404
Apartament z ogródkiem, podgórze!;Kraków , Podgórze Duchackie, Wola Duchacka;3 pokoje;494 328 zł;52,04 m²;9 499 zł/m²;https://www.otodom.pl/oferta/apartament-z-ogrodkiem-podgorze-ID3Mqdu.html#de3f47c1fe;2020-02-08 18:57:44.612402
Mieszkanie-Nowa Huta, os Urocze, 68.50m2, 3 pokoje;Kraków , Nowa Huta;3 pokoje;500 000 zł;68,48 m²;7 301 zł/m²;https://www.otodom.pl/oferta/mieszkanie-nowa-huta-os-urocze-68-50m2-3-pokoje-ID44tsZ.html#de3f47c1fe;2020-02-08 18:57:44.612402
Luksusowy apartament Osiedle pod Dębami;Kraków , Podgórze Duchackie, Wola Duchacka;3 pokoje;642 000 zł;70,42 m²;9 117 zł/m²;https://www.otodom.pl/oferta/luksusowy-apartament-osiedle-pod-debami-ID41s23.html#de3f47c1fe;2020-02-08 18:57:44.613399
3 pokoje w doskonałej lokalizacji, ul. Kapelanka;Kraków , Dębniki;3 pokoje;594 000 zł;66,06 m²;8 992 zł/m²;https://www.otodom.pl/oferta/3-pokoje-w-doskonalej-lokalizacji-ul-kapelanka-ID41kAE.html#de3f47c1fe;2020-02-08 18:57:44.617385
Kawalerka z aneksem, parter, 36m, bez schodów;Kraków , Podgórze Duchackie;1 pokój;278 000 zł;36 m²;7 722 zł/m²;https://www.otodom.pl/oferta/kawalerka-z-aneksem-parter-36m-bez-schodow-ID44B9x.html#de3f47c1fe;2020-02-08 18:57:44.619384
Apartament w wysokim standardzie LEA RESIDENCE.;Kraków , Krowodrza;2 pokoje;599 000 zł;53 m²;11 302 zł/m²;https://www.otodom.pl/oferta/apartament-w-wysokim-standardzie-lea-residence-ID44B9v.html#de3f47c1fe;2020-02-08 18:57:44.620377
3 pokoje, 73m2 os. Dywizjonu 303;Kraków , Nowa Huta, Czyżyny;3 pokoje;589 000 zł;73 m²;8 068 zł/m²;https://www.otodom.pl/oferta/3-pokoje-73m2-os-dywizjonu-303-ID44nnh.html#de3f47c1fe;2020-02-08 18:57:44.621418
2 pokoje, 34m2 na Kozłówku przy parku;Kraków , Podgórze Duchackie;2 pokoje;335 000 zł;34,20 m²;9 795 zł/m²;https://www.otodom.pl/oferta/2-pokoje-34m2-na-kozlowku-przy-parku-ID44B8M.html#de3f47c1fe;2020-02-08 18:57:44.622373
57m2 .2 pokoje z osobną kuchnią.Prądnik Biały.Wyłą;Kraków , Prądnik Biały;2 pokoje;435 000 zł;57 m²;7 632 zł/m²;https://www.otodom.pl/oferta/57m2-2-pokoje-z-osobna-kuchnia-pradnik-bialy-wyla-ID44B8f.html#de3f47c1fe;2020-02-08 18:57:44.623367
Kawalerki w Centrum od 240 tys. zł - super okazja;Kraków , Podgórze, Stare Podgórze;1 pokój;240 000 zł;20 m²;12 000 zł/m²;https://www.otodom.pl/oferta/kawalerki-w-centrum-od-240-tys-zl-super-okazja-ID44B7m.html#de3f47c1fe;2020-02-08 18:57:44.624366
1 pokoje, nowe budownictwo, bez PCC;Kraków , Wzgórza Krzesławickie;1 pokój;189 000 zł;25 m²;7 560 zł/m²;https://www.otodom.pl/oferta/1-pokoje-nowe-budownictwo-bez-pcc-ID44k6e.html#de3f47c1fe;2020-02-08 18:57:44.625367
Mieszkanie do remontu 45m2, blisko TRAMWAJ;Kraków , Podgórze Duchackie;3 pokoje;380 000 zł;45 m²;8 444 zł/m²;https://www.otodom.pl/oferta/mieszkanie-do-remontu-45m2-blisko-tramwaj-ID44B75.html#de3f47c1fe;2020-02-08 18:57:44.626361
Apartament ***** Wiślane Tarasy 2.0 - Grzegórzecka;Kraków , Grzegórzki;3 pokoje;1 190 000 zł;60 m²;19 833 zł/m²;https://www.otodom.pl/oferta/apartament-wislane-tarasy-2-0-grzegorzecka-ID44gQV.html#de3f47c1fe;2020-02-08 18:57:44.627360
Kawalerka 22m2.przy Uniwer. Rolniczym.Wyłączność.;Kraków , Prądnik Czerwony;1 pokój;205 000 zł;22 m²;9 318 zł/m²;https://www.otodom.pl/oferta/kawalerka-22m2-przy-uniwer-rolniczym-wylacznosc-ID444Kz.html#de3f47c1fe;2020-02-08 18:57:44.628359
Przytulne mieszkanie przy ul. Gustawa Morcinka;Kraków , Wzgórza Krzesławickie, Zesławice;2 pokoje;299 000 zł;39 m²;7 667 zł/m²;https://www.otodom.pl/oferta/przytulne-mieszkanie-przy-ul-gustawa-morcinka-ID44re1.html#de3f47c1fe;2020-02-08 18:57:44.630348
Mieszkanie, 88 m², Kraków;Kraków , Łagiewniki-Borek Fałęcki;4 pokoje;585 000 zł;88 m²;6 648 zł/m²;https://www.otodom.pl/oferta/mieszkanie-88-m-krakow-ID44lpG.html#de3f47c1fe;2020-02-08 18:57:44.631347
Mieszkanie, 47,67 m², Kraków;Kraków , małopolskie;2 pokoje;572 000 zł;47,67 m²;11 999 zł/m²;https://www.otodom.pl/oferta/mieszkanie-47-67-m-krakow-ID44ria.html#de3f47c1fe;2020-02-08 18:57:44.632345
Mieszkanie, 83,57 m², Kraków;Kraków , Podgórze;4 pokoje;830 000 zł;83,57 m²;9 932 zł/m²;https://www.otodom.pl/oferta/mieszkanie-83-57-m-krakow-ID44wEI.html#de3f47c1fe;2020-02-08 18:57:44.632345
Mieszkanie, 26,50 m², Kraków;Kraków , Podgórze, Stare Podgórze;2 pokoje;374 000 zł;26,50 m²;14 113 zł/m²;https://www.otodom.pl/oferta/mieszkanie-26-50-m-krakow-ID44wEK.html#de3f47c1fe;2020-02-08 18:57:44.633350
Inwestor - deweloperskie kamienica Stare Podgórze.;Kraków , Podgórze, Stare Podgórze;3 pokoje;535 000 zł;42,85 m²;12 485 zł/m²;https://www.otodom.pl/oferta/inwestor-deweloperskie-kamienica-stare-podgorze-ID43nEr.html#de3f47c1fe;2020-02-08 18:57:44.634340
MISTRZEJOWICE-2pok.pełna infrastruktura!0%PROWIZJI;Kraków , Mistrzejowice;2 pokoje;341 700 zł;50,25 m²;6 800 zł/m²;https://www.otodom.pl/oferta/mistrzejowice-2pok-pelna-infrastruktura-0-prowizji-ID43wn9.html#de3f47c1fe;2020-02-08 18:57:44.636336
Apart.premium-3pok.+dwa balkony!Lokalizacja marzeń;Kraków , Zwierzyniec, Wola Justowska;3 pokoje;784 864 zł;73,96 m²;10 612 zł/m²;https://www.otodom.pl/oferta/apart-premium-3pok-dwa-balkony-lokalizacja-marzen-ID43vct.html#de3f47c1fe;2020-02-08 18:57:44.638330
Apart. 3pok.w najbardziej porządanej lokalizacji!;Kraków , Zwierzyniec, Wola Justowska;3 pokoje;922 239 zł;78,77 m²;11 708 zł/m²;https://www.otodom.pl/oferta/apart-3pok-w-najbardziej-porzadanej-lokalizacji-ID43xmB.html#de3f47c1fe;2020-02-08 18:57:44.639329
Stare Miasto SMOCZA przy Wawelu 2 pokoje od zaraz;Kraków , Stare Miasto;2 pokoje;799 000 zł;62,07 m²;12 873 zł/m²;https://www.otodom.pl/oferta/stare-miasto-smocza-przy-wawelu-2-pokoje-od-zaraz-ID44bNe.html#de3f47c1fe;2020-02-08 18:57:44.640325
Nowa oferta na Krakowskim Kazimierzu/Wietora;Kraków , Stare Miasto, Kazimierz;1 pokój;494 400 zł;32,96 m²;15 000 zł/m²;https://www.otodom.pl/oferta/nowa-oferta-na-krakowskim-kazimierzu-wietora-ID44nOk.html#de3f47c1fe;2020-02-08 18:57:44.642318
Ekskluzywny - premium - widok - Bulwary Wiślane;Kraków , Grzegórzki;2 pokoje;684 214 zł;49,58 m²;13 800 zł/m²;https://www.otodom.pl/oferta/ekskluzywny-premium-widok-bulwary-wislane-ID44B4J.html#de3f47c1fe;2020-02-08 18:57:44.643316
Kraków, ul. Śliczna blisko Quattro Business Park;Kraków , Prądnik Czerwony, Wieczysta;2 pokoje;515 000 zł;54,46 m²;9 456 zł/m²;https://www.otodom.pl/oferta/krakow-ul-sliczna-blisko-quattro-business-park-ID3oy60.html#bcc2421ba9;2020-02-08 18:57:48.211346
Apartamenty Ludwinów 155 m², Basen, Siłownia;Kraków , Dębniki;3 pokoje;1 550 000 zł;155 m²;10 000 zł/m²;https://www.otodom.pl/oferta/apartamenty-ludwinow-155-m-basen-silownia-ID44w4K.html#bcc2421ba9;2020-02-08 18:57:48.213342
Jesionova mieszkanie A1M8;Kraków , Zwierzyniec;4 pokoje;Zapytaj o cenę;134,01 m²;https://www.otodom.pl/oferta/jesionova-mieszkanie-a1m8-ID42gHp.html#bcc2421ba9;2020-02-08 18:57:48.214337
Mieszkanie - Kraków Stare Miasto;Kraków , Stare Miasto;1 pokój;345 000 zł;23 m²;15 000 zł/m²;https://www.otodom.pl/oferta/mieszkanie-krakow-stare-miasto-ID44B3P.html#bcc2421ba9;2020-02-08 18:57:48.217342
Mieszkanie Z Antresola 5 Min Od Rynku Głównego;Kraków , Śródmieście;2 pokoje;395 000 zł;33 m²;11 970 zł/m²;https://www.otodom.pl/oferta/mieszkanie-z-antresola-5-min-od-rynku-glownego-ID44urs.html#bcc2421ba9;2020-02-08 18:57:48.218328
M3 do zamieszkania od zaraz – Ruczaj Czerwone Maki;Kraków , Podgórze;2 pokoje;499 000 zł;51 m²;9 784 zł/m²;https://www.otodom.pl/oferta/m3-do-zamieszkania-od-zaraz-ruczaj-czerwone-maki-ID44jRv.html#bcc2421ba9;2020-02-08 18:57:48.220325
Galinvest Głowackiego piętro 5 pow. 32,32 m2 2-pok;Kraków , Bronowice;2 pokoje;355 000 zł;32,32 m²;10 984 zł/m²;https://www.otodom.pl/oferta/galinvest-glowackiego-pietro-5-pow-32-32-m2-2-pok-ID44B2Y.html#bcc2421ba9;2020-02-08 18:57:48.221319
Gotowe 3/4 Pokoje Kraków Telimeny;Kraków , Bieżanów-Prokocim;4 pokoje;505 000 zł;67,63 m²;7 467 zł/m²;https://www.otodom.pl/oferta/gotowe-3-4-pokoje-krakow-telimeny-ID44n31.html#bcc2421ba9;2020-02-08 18:57:48.223317
3 Pokoje Kraków Ruczaj Piltza;Kraków , Dębniki;3 pokoje;399 000 zł;50 m²;7 980 zł/m²;https://www.otodom.pl/oferta/3-pokoje-krakow-ruczaj-piltza-ID41jQR.html#bcc2421ba9;2020-02-08 18:57:48.224314
5 pok. mieszkanie na Os. Dywizjonu 303 z ogródkiem;Kraków , małopolskie;5 pokoi;569 000 zł;73 m²;7 795 zł/m²;https://www.otodom.pl/oferta/5-pok-mieszkanie-na-os-dywizjonu-303-z-ogrodkiem-ID44B2f.html#bcc2421ba9;2020-02-08 18:57:48.225309
Kozłówek Ładne 1pok 25m2 279 000 do Negocjacji;Kraków , Podgórze;1 pokój;279 000 zł;25 m²;11 160 zł/m²;https://www.otodom.pl/oferta/kozlowek-ladne-1pok-25m2-279-000-do-negocjacji-ID44B2h.html#bcc2421ba9;2020-02-08 18:57:48.227305
Kawalerka na 9 p. 15 min od rynku Vermelo 29 aleja;Kraków , Śródmieście;2 pokoje;415 000 zł;37,59 m²;11 040 zł/m²;https://www.otodom.pl/oferta/kawalerka-na-9-p-15-min-od-rynku-vermelo-29-aleja-ID44mZf.html#bcc2421ba9;2020-02-08 18:57:48.229299
ul. Grota Roweckiego.Ruczaj. CZTEROPOKOJOWE,balkon;Kraków , Dębniki, Ruczaj;4 pokoje;569 000 zł;71,46 m²;7 962 zł/m²;https://www.otodom.pl/oferta/ul-grota-roweckiego-ruczaj-czteropokojowe-balkon-ID44kpG.html#bcc2421ba9;2020-02-08 18:57:48.230294
Kraków – Stare Podgórze – ok ul. Stromej – 32,9 m2;Kraków , Podgórze, Stare Podgórze;1 pokój;12 345 zł;32,90 m²;375 zł/m²;https://www.otodom.pl/oferta/krakow-stare-podgorze-ok-ul-stromej-32-9-m2-ID44B1p.html#bcc2421ba9;2020-02-08 18:57:48.231295
2 pokojowe mieszkanie Prądnik Czerwony / Olsza;Kraków , Prądnik Czerwony;2 pokoje;370 000 zł;37 m²;10 000 zł/m²;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-pradnik-czerwony-olsza-ID44B16.html#bcc2421ba9;2020-02-08 18:57:48.232290
Mieszkanie 2 pok. 55,24 m2 z ogródkiem 58,72 m2;Kraków , Swoszowice;2 pokoje;359 060 zł;55,24 m²;6 500 zł/m²;https://www.otodom.pl/oferta/mieszkanie-2-pok-55-24-m2-z-ogrodkiem-58-72-m2-ID44qBh.html#bcc2421ba9;2020-02-08 18:57:48.233285
REZERWACJA Mieszkanie blisko Zalewu Nowohuckiego;Kraków , Nowa Huta;2 pokoje;319 000 zł;38,40 m²;8 307 zł/m²;https://www.otodom.pl/oferta/rezerwacja-mieszkanie-blisko-zalewu-nowohuckiego-ID44mRG.html#bcc2421ba9;2020-02-08 18:57:48.235284
25m2, Lea-Skarbińskiego, Stara Krowodrza,;Kraków , Krowodrza, Łobzów;1 pokój;255 000 zł;24,66 m²;10 341 zł/m²;https://www.otodom.pl/oferta/25m2-lea-skarbinskiego-stara-krowodrza-ID44AZ6.html#bcc2421ba9;2020-02-08 18:57:48.236280
Sprzedam mieszkanie 38m2 Czyżyny, Nowa Huta c;Kraków , Nowa Huta, Czyżyny;2 pokoje;375 000 zł;38 m²;9 868 zł/m²;https://www.otodom.pl/oferta/sprzedam-mieszkanie-38m2-czyzyny-nowa-huta-c-ID441DF.html#bcc2421ba9;2020-02-08 18:57:48.237277
Kawalerka w Krakowie z Koleją aglomeracyjną- Cesja;Kraków , Bieżanów-Prokocim, Bieżanów;1 pokój;183 000 zł;25,66 m²;7 132 zł/m²;https://www.otodom.pl/oferta/kawalerka-w-krakowie-z-koleja-aglomeracyjna-cesja-ID4334K.html#bcc2421ba9;2020-02-08 18:57:48.239304
5 pokoi Krowodrza- idealne do dalszego najmu;Kraków , Krowodrza;5 pokoi;544 000 zł;67 m²;8 119 zł/m²;https://www.otodom.pl/oferta/5-pokoi-krowodrza-idealne-do-dalszego-najmu-ID43uoN.html#bcc2421ba9;2020-02-08 18:57:48.240270
Apartament Bronowice- do negocjacji;Kraków , Bronowice;2 pokoje;479 000 zł;55,77 m²;8 589 zł/m²;https://www.otodom.pl/oferta/apartament-bronowice-do-negocjacji-ID43Of7.html#bcc2421ba9;2020-02-08 18:57:48.241267
2 pokoje-Krowodrza-ul. Siemaszki;Kraków , Krowodrza;2 pokoje;411 000 zł;47,64 m²;8 627 zł/m²;https://www.otodom.pl/oferta/2-pokoje-krowodrza-ul-siemaszki-ID43TPP.html#bcc2421ba9;2020-02-08 18:57:48.242264
Mini apartament do celów inwestycyjnych;Kraków , Prądnik Biały, Azory;1 pokój;269 000 zł;25 m²;10 760 zł/m²;https://www.otodom.pl/oferta/mini-apartament-do-celow-inwestycyjnych-ID418wL.html#bcc2421ba9;2020-02-08 18:57:48.243832
3 pokoje Podgórze Duchackie, Piaski Nowe;Kraków , Podgórze Duchackie, Piaski Wielkie;3 pokoje;399 000 zł;55,70 m²;7 163 zł/m²;https://www.otodom.pl/oferta/3-pokoje-podgorze-duchackie-piaski-nowe-ID44rrM.html#bcc2421ba9;2020-02-08 18:57:48.245795
Kraków, Nowa Huta, os. Strusia - 2pok,44 m+Balkon;Kraków , Nowa Huta;2 pokoje;349 000 zł;44 m²;7 932 zł/m²;https://www.otodom.pl/oferta/krakow-nowa-huta-os-strusia-2pok-44-m-balkon-ID44AIl.html#bcc2421ba9;2020-02-08 18:57:48.247787
Mieszkanie z tarasem na Starym Mieście!!!;Kraków , Stare Miasto;4 pokoje;1 690 000 zł;130 m²;13 000 zł/m²;https://www.otodom.pl/oferta/mieszkanie-z-tarasem-na-starym-miescie-ID44pAy.html#bcc2421ba9;2020-02-08 18:57:48.248785
3 pokoje z ogródkiem , oferta promocyjna!;Kraków , Podgórze Duchackie, Kurdwanów;3 pokoje;438 980 zł;62,70 m²;7 001 zł/m²;https://www.otodom.pl/oferta/3-pokoje-z-ogrodkiem-oferta-promocyjna-ID44xQk.html#e7b1ebfb0e;2020-02-08 18:57:51.943334
Widokowa kawalerka 30m2 na Wiślanych Tarasach;Kraków , Grzegórzki;1 pokój;405 000 zł;30,10 m²;13 455 zł/m²;https://www.otodom.pl/oferta/widokowa-kawalerka-30m2-na-wislanych-tarasach-ID44t0A.html#e7b1ebfb0e;2020-02-08 18:57:51.944340
Super wykończona kawalerka przy Placu Boh. Getta;Kraków , Podgórze;1 pokój;590 000 zł;39 m²;15 128 zł/m²;https://www.otodom.pl/oferta/super-wykonczona-kawalerka-przy-placu-boh-getta-ID42Tys.html#e7b1ebfb0e;2020-02-08 18:57:51.944340
Stare Miasto - gotowa kawalerka pod wynajem;Kraków , Stare Miasto;1 pokój;379 000 zł;27,83 m²;13 618 zł/m²;https://www.otodom.pl/oferta/stare-miasto-gotowa-kawalerka-pod-wynajem-ID3NZ3q.html#e7b1ebfb0e;2020-02-08 18:57:51.945335
Mieszkanie Kraków ul. Nowosądecka, 34 m2, 2 pokoje;Kraków , Podgórze Duchackie, Wola Duchacka;2 pokoje;335 000 zł;34 m²;9 853 zł/m²;https://www.otodom.pl/oferta/mieszkanie-krakow-ul-nowosadecka-34-m2-2-pokoje-ID44AVX.html#e7b1ebfb0e;2020-02-08 18:57:51.945335
NOWE**ZAM**Kraków ul.Rydlówka Podgórze*OKAZJA!;Kraków , Podgórze;2 pokoje;489 000 zł;48 m²;10 188 zł/m²;https://www.otodom.pl/oferta/nowezamkrakow-ul-rydlowka-podgorzeokazja-ID4444w.html#e7b1ebfb0e;2020-02-08 18:57:51.946331
Nowe na Bronowicach Małych, 3p, 70m2, garaż 38m2;Kraków , Bronowice, Bronowice Małe;3 pokoje;594 000 zł;70,25 m²;8 456 zł/m²;https://www.otodom.pl/oferta/nowe-na-bronowicach-malych-3p-70m2-garaz-38m2-ID44AVk.html#e7b1ebfb0e;2020-02-08 18:57:51.946331
Mini apartament bez pośredników;Kraków , Prądnik Biały, Azory;1 pokój;239 000 zł;19,60 m²;12 194 zł/m²;https://www.otodom.pl/oferta/mini-apartament-bez-posrednikow-ID405tG.html#e7b1ebfb0e;2020-02-08 18:57:51.947329
Atrakcyjny Apartament /ul. Babinicza , Kraków;Kraków , Dębniki, Kliny-Zacisze;2 pokoje;524 000 zł;64 m²;8 188 zł/m²;https://www.otodom.pl/oferta/atrakcyjny-apartament-ul-babinicza-krakow-ID445Tp.html#e7b1ebfb0e;2020-02-08 18:57:51.947329
Nowa Huta/Bieńczyce 53M2,3 Pok,Po Remoncie;Kraków , Bieńczyce;3 pokoje;459 000 zł;53 m²;8 660 zł/m²;https://www.otodom.pl/oferta/nowa-huta-bienczyce-53m2-3-pok-po-remoncie-ID44AUq.html#e7b1ebfb0e;2020-02-08 18:57:51.948326
Centrum/Os.Oficerskie Bardzo Ładne 3 Pok.,1 Piętro;Kraków , Grzegórzki;3 pokoje;599 000 zł;55 m²;10 891 zł/m²;https://www.otodom.pl/oferta/centrum-os-oficerskie-bardzo-ladne-3-pok-1-pietro-ID44AUp.html#e7b1ebfb0e;2020-02-08 18:57:51.948326
Śródmieście/Olsza 40M2 Z Antresolą,Po Gen.Remoncie;Kraków , Grzegórzki, Olsza;2 pokoje;328 000 zł;40 m²;8 200 zł/m²;https://www.otodom.pl/oferta/srodmiescie-olsza-40m2-z-antresola-po-gen-remoncie-ID44AUm.html#e7b1ebfb0e;2020-02-08 18:57:51.949324
Podgórze/Os.Złocień 60M2,1 Piętro,Blok Cegła.;Kraków , Bieżanów-Prokocim;3 pokoje;399 900 zł;62,40 m²;6 409 zł/m²;https://www.otodom.pl/oferta/podgorze-os-zlocien-60m2-1-pietro-blok-cegla-ID44AUl.html#e7b1ebfb0e;2020-02-08 18:57:51.949324
Grzegórzki 35M2,2 Pok.1 Piętro,Do Wprowadzenia;Kraków , Grzegórzki;2 pokoje;398 000 zł;35 m²;11 371 zł/m²;https://www.otodom.pl/oferta/grzegorzki-35m2-2-pok-1-pietro-do-wprowadzenia-ID44AUk.html#e7b1ebfb0e;2020-02-08 18:57:51.950321
Krowodrza/Azory 1-Pokojowe Z Dużą Antresolą 43M2;Kraków , Prądnik Biały, Azory;1 pokój;325 000 zł;43 m²;7 558 zł/m²;https://www.otodom.pl/oferta/krowodrza-azory-1-pokojowe-z-duza-antresola-43m2-ID44AUj.html#e7b1ebfb0e;2020-02-08 18:57:51.951323
