Apartament z klimatem i historią - dla konesera;Kraków , Krowodrza;4 pokoje;870 000 zł;73,50 m²;11 837 zł/m²;https://www.otodom.pl/oferta/apartament-z-klimatem-i-historia-dla-konesera-ID4137D.html#de3f47c1fe;2020-02-15 13:29:14.722105
0% prowizji, mieszkanie czteropokojowe, Kliny;Kraków , Dębniki, Kliny-Zacisze;4 pokoje;369 000 zł;60,76 m²;6 073 zł/m²;https://www.otodom.pl/oferta/0-prowizji-mieszkanie-czteropokojowe-kliny-ID43sAX.html#de3f47c1fe;2020-02-15 13:29:14.722105
Nowa inwestycja - 5 apart. na sprzedaż.;Kraków , Podgórze;5 pokoi;1 760 000 zł;114 m²;15 439 zł/m²;https://www.otodom.pl/oferta/nowa-inwestycja-5-apart-na-sprzedaz-ID44o2C.html#de3f47c1fe;2020-02-15 13:29:14.722105
MISTRZEJOWICE-2pok.pełna infrastruktura!0%PROWIZJI;Kraków , Mistrzejowice;2 pokoje;341 700 zł;50,25 m²;6 800 zł/m²;https://www.otodom.pl/oferta/mistrzejowice-2pok-pelna-infrastruktura-0-prowizji-ID43wn9.html#de3f47c1fe;2020-02-15 13:29:14.722105
Dwa pokoje Kraków-Dębniki-Ruczaj;Kraków , Dębniki;2 pokoje;330 000 zł;37,78 m²;8 735 zł/m²;https://www.otodom.pl/oferta/dwa-pokoje-krakow-debniki-ruczaj-ID41VbZ.html#de3f47c1fe;2020-02-15 13:29:14.722105
Wyjątkowy przestronny apartament Bieńczyce 135m2;Kraków , Bieńczyce;5 pokoi;695 000 zł;135 m²;5 148 zł/m²;https://www.otodom.pl/oferta/wyjatkowy-przestronny-apartament-bienczyce-135m2-ID43hxT.html#de3f47c1fe;2020-02-15 13:29:14.722105
40m2 2 osobne pokoje miejsce parkingowe Prądnik;Kraków , Prądnik Biały;2 pokoje;420 000 zł;40 m²;10 500 zł/m²;https://www.otodom.pl/oferta/40m2-2-osobne-pokoje-miejsce-parkingowe-pradnik-ID44HJ8.html#de3f47c1fe;2020-02-15 13:29:14.722105
Mieszkanie, Kraków Chełmońskiego;Kraków , Bronowice, Bronowice Małe;2 pokoje;550 000 zł;46,30 m²;11 879 zł/m²;https://www.otodom.pl/oferta/mieszkanie-krakow-chelmonskiego-ID44BIh.html#de3f47c1fe;2020-02-15 13:29:14.722105
urządzone 2 pokoje, 46m, Nowa Huta;Kraków , Nowa Huta;2 pokoje;380 000 zł;46 m²;8 261 zł/m²;https://www.otodom.pl/oferta/urzadzone-2-pokoje-46m-nowa-huta-ID44HIU.html#de3f47c1fe;2020-02-15 13:29:14.722105
Inwestuj I Zarabiaj;Kraków , Dębniki;5 pokoi;630 000 zł;50,81 m²;12 399 zł/m²;https://www.otodom.pl/oferta/inwestuj-i-zarabiaj-ID44HIP.html#de3f47c1fe;2020-02-15 13:29:14.722105
2-pokojowe z balkonem i garażem ul. Marchołta;Kraków , Prądnik Czerwony;2 pokoje;430 000 zł;42,20 m²;10 190 zł/m²;https://www.otodom.pl/oferta/2-pokojowe-z-balkonem-i-garazem-ul-marcholta-ID44HHY.html#de3f47c1fe;2020-02-15 13:29:14.722105
