;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
1;Mieszkanie Kraków Biały Prądnik - zarezerowane;Kraków , Prądnik Biały;3 pokoje;395000.0;62.5;6320.0;https://www.otodom.pl/oferta/mieszkanie-krakow-bialy-pradnik-zarezerowane-ID44x92.html#de3f47c1fe;2020-02-19 16:57:39.280528;Prądnika;Kraków , Prądnik Biały, Prądnika;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.0955225, 19.9283169, 0.0);50.0955225;19.9283169;0.0;POINT (566377.4070532473 247998.4942823648)
2;2-pokoje do odświeżenia ! Do Wilgi;Kraków , Łagiewniki-Borek Fałęcki, Cegielniana;2 pokoje;385000.0;40.0;9625.0;https://www.otodom.pl/oferta/2-pokoje-do-odswiezenia-do-wilgi-ID43M0O.html#de3f47c1fe;2020-02-19 16:57:39.280528;Wilgi;Kraków , Łagiewniki-Borek Fałęcki, Cegielniana, Wilgi;Park rzeczny Wilgi, Osiedle Cegielniana, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, Polska;(50.02716505, 19.927239286966902, 0.0);50.02716505;19.927239286966902;0.0;POINT (566394.6413695168 240399.6172999749)
3;Mieszk2pok z ogródkiem 37m2.Myśliwska-Mały Płaszów;Kraków , Podgórze, Płaszów;2 pokoje;383000.0;37.0;10351.0;https://www.otodom.pl/oferta/mieszk2pok-z-ogrodkiem-37m2-mysliwska-maly-plaszow-ID44LJl.html#de3f47c1fe;2020-02-19 16:57:39.280528;Płaszów;Kraków , Podgórze, Płaszów, Płaszów;Kraków Płaszów, Peron 2 - modernizacja, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska;(50.0345327, 19.9754459, 0.0);50.0345327;19.9754459;0.0;POINT (569835.7166101226 241262.450246132)
7;Pilnie sprzedam 3 pokojowe. Bohaterów Września;Kraków , Nowa Huta;3 pokoje;365000.0;54.95;6642.0;https://www.otodom.pl/oferta/pilnie-sprzedam-3-pokojowe-bohaterow-wrzesnia-ID44LHV.html#de3f47c1fe;2020-02-19 16:57:39.280528;Września;Kraków , Nowa Huta, Września;Urząd Skarbowy Kraków - Nowa Huta, 80, Osiedle Bohaterów Września, Mistrzejowice, Kraków, województwo małopolskie, 31-621, Polska;(50.1044948, 20.0116364, 0.0);50.1044948;20.0116364;0.0;POINT (572321.3837846142 249073.1417173371)
22;2 pokoje, 50,5 m2, os. Słoneczne;Kraków , Nowa Huta;2 pokoje;369000.0;50.0;7380.0;https://www.otodom.pl/oferta/2-pokoje-50-5-m2-os-sloneczne-ID44LFq.html#de3f47c1fe;2020-02-19 16:57:39.281525;Słoneczne;Kraków , Nowa Huta, Słoneczne;Osiedle Słoneczne, Nowa Huta, Delegatura Kraków-Nowa Huta, Kraków, województwo małopolskie, 31-956, Polska;(50.0776057, 20.0420898, 0.0);50.0776057;20.0420898;0.0;POINT (574540.1416298144 246114.3636779059)
24;Luksusowy Apartament - 59m2 - Prądnik Czerwony;Kraków , Prądnik Czerwony;3 pokoje;790000.0;59.0;13390.0;https://www.otodom.pl/oferta/luksusowy-apartament-59m2-pradnik-czerwony-ID44LFc.html#de3f47c1fe;2020-02-19 16:57:39.281525;Prądnika;Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.98679355896063;0.0;POINT (570561.7860403393 247810.2744327188)
28;Mieszkanie 70,40m², Kraków, Wola Duchacka Zachód;Kraków , Podgórze Duchackie, Wola Duchacka;4 pokoje;540000.0;70.4;7670.0;https://www.otodom.pl/oferta/mieszkanie-70-40m-krakow-wola-duchacka-zachod-ID44BlY.html#bcc2421ba9;2020-02-19 16:57:40.182439;Duchacka;Kraków , Podgórze Duchackie, Wola Duchacka, Duchacka;Kraków Bonarka, Kładka pieszo-rowerowa, Wola Duchacka, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-416, Polska;(50.0293189, 19.9462275, 0.0);50.0293189;19.9462275;0.0;POINT (567751.2342442736 240656.0522081703)
29;Mieszkanie z piwnicą okolica Galerii Krakowskiej;Kraków , Stare Miasto;2 pokoje;360000.0;37.0;9730.0;https://www.otodom.pl/oferta/mieszkanie-z-piwnica-okolica-galerii-krakowskiej-ID44z9d.html#bcc2421ba9;2020-02-19 16:57:40.182439;Krakowskich;Kraków , Stare Miasto, Krakowskich;Pomnik zajść krakowskich 1936, Skwer im. Andrzeja Wajdy, Stare Miasto, Kraków, województwo małopolskie, 31-023, Polska;(50.0648716, 19.9433911, 0.0);50.0648716;19.9433911;0.0;POINT (567498.2653964941 244605.1497884048)
36;Obrońca Krzyża 57 m2;Kraków , małopolskie;3 pokoje;379000.0;57.0;6649.0;https://www.otodom.pl/oferta/obronca-krzyza-57-m2-ID44FY1.html#bcc2421ba9;2020-02-19 16:57:40.182439;Krzywa;Kraków , małopolskie, Krzywa;Krzywa, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 31-151, Polska;(50.0673124, 19.9404533, 0.0);50.0673124;19.9404533;0.0;POINT (567284.6585443659 244873.7945570294)
37;PRZY Dworku Białoprądnickim , 52m z balkonem!;Kraków , Prądnik Biały;2 pokoje;420000.0;52.0;8077.0;https://www.otodom.pl/oferta/przy-dworku-bialopradnickim-52m-z-balkonem-ID44LEJ.html#bcc2421ba9;2020-02-19 16:57:40.182439;Białoprądnicka;Kraków , Prądnik Biały, Białoprądnicka;Białoprądnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-221, Polska;(50.0952644, 19.9351654, 0.0);50.0952644;19.9351654;0.0;POINT (566867.4466839134 247975.9155537104)
