Apartament 60 m2 - Mieszkanie - Centrum - Garaż;Kraków , Podgórze, Mateczny;3 pokoje;760 000 zł;60 m²;12 667 zł/m²;https://www.otodom.pl/oferta/apartament-60-m2-mieszkanie-centrum-garaz-ID3wbvI.html#de3f47c1fe;2020-02-20 17:23:45.372605
2 pok., 48m2, Czarnogórska, Wola Duchacka, Kraków;Kraków , Podgórze Duchackie, Wola Duchacka;2 pokoje;375 000 zł;48 m²;7 813 zł/m²;https://www.otodom.pl/oferta/2-pok-48m2-czarnogorska-wola-duchacka-krakow-ID44CXs.html#de3f47c1fe;2020-02-20 17:23:45.372605
Wadowicka kawalerka cesja 27m2, ogródek 17,15 m2;Kraków , Podgórze;2 pokoje;288 300 zł;27,46 m²;10 499 zł/m²;https://www.otodom.pl/oferta/wadowicka-kawalerka-cesja-27m2-ogrodek-17-15-m2-ID44vGn.html#de3f47c1fe;2020-02-20 17:23:45.372605
3pokoje,77m2,1pietro Stare Miasto;Kraków , Stare Miasto;3 pokoje;990 000 zł;77,02 m²;12 854 zł/m²;https://www.otodom.pl/oferta/3pokoje-77m2-1pietro-stare-miasto-ID44MWf.html#de3f47c1fe;2020-02-20 17:23:45.372605
Dwa pokoje - Szafrana.;Kraków , Podgórze, Mateczny;2 pokoje;560 000 zł;45 m²;12 444 zł/m²;https://www.otodom.pl/oferta/dwa-pokoje-szafrana-ID44MWa.html#de3f47c1fe;2020-02-20 17:23:45.372605
3-Pokoje 50m2 ul.Odrzańska;Kraków , Łagiewniki-Borek Fałęcki, Cegielniana;3 pokoje;408 000 zł;50,11 m²;8 142 zł/m²;https://www.otodom.pl/oferta/3-pokoje-50m2-ul-odrzanska-ID44MW8.html#de3f47c1fe;2020-02-20 17:23:45.372605
Apartament z widokiem dla Ciebie.;Kraków , Prądnik Biały;3 pokoje;833 000 zł;80,22 m²;10 384 zł/m²;https://www.otodom.pl/oferta/apartament-z-widokiem-dla-ciebie-ID44MUP.html#de3f47c1fe;2020-02-20 17:23:45.372605
Do Remontu mieszkanie na 1 piętrze z windą;Kraków , Nowa Huta;2 pokoje;365 000 zł;47 m²;7 766 zł/m²;https://www.otodom.pl/oferta/do-remontu-mieszkanie-na-1-pietrze-z-winda-ID44MUO.html#de3f47c1fe;2020-02-20 17:23:45.372605
Kameralna kamienica - 15 min do Rynku;Kraków , Krowodrza, Łobzów;4 pokoje;1 000 000 zł;101 m²;9 901 zł/m²;https://www.otodom.pl/oferta/kameralna-kamienica-15-min-do-rynku-ID44MUH.html#de3f47c1fe;2020-02-20 17:23:45.372605
Płaszów/Lipska/Bagry - 2pok balkon parking;Kraków , Podgórze, Płaszów;2 pokoje;419 999 zł;42,25 m²;9 941 zł/m²;https://www.otodom.pl/oferta/plaszow-lipska-bagry-2pok-balkon-parking-ID44MUv.html#de3f47c1fe;2020-02-20 17:23:45.372605
