102 m²;Mieszkanie cały segment Kraków Zielonki z ogrodem;Kraków , małopolskie;5 pokoi;520 000 zł;102 m²;5 098 zł/m²;https://www.otodom.pl/oferta/mieszkanie-caly-segment-krakow-zielonki-z-ogrodem-ID3UosE.html#de3f47c1fe;2020-02-23 10:09:31.610895;0;2;2019
60 m²;Mieszkanie Kliny Borkowskie, ul. Borkowska;Kraków , Swoszowice;3 pokoje;475 000 zł;60 m²;7 917 zł/m²;https://www.otodom.pl/oferta/mieszkanie-kliny-borkowskie-ul-borkowska-ID44CXr.html#de3f47c1fe;2020-02-23 10:09:32.580360;2;2;2005
103 m²;Wyjątkowe apartamenty pod zamkiem w Przegorzałach;Kraków , Zwierzyniec, Przegorzały;4 pokoje;1 200 000 zł;103 m²;11 650 zł/m²;https://www.otodom.pl/oferta/wyjatkowe-apartamenty-pod-zamkiem-w-przegorzalach-ID44qiv.html#de3f47c1fe;2020-02-23 10:09:34.004775;;;
33,30 m²;Na sprzedaż 2 pokojowe mieszkanie 33,3m2;Kraków , Wzgórza Krzesławickie;2 pokoje;315 000 zł;33,30 m²;9 459 zł/m²;https://www.otodom.pl/oferta/na-sprzedaz-2-pokojowe-mieszkanie-33-3m2-ID44IBL.html#de3f47c1fe;2020-02-23 10:09:35.116303;2;3;2018
26 m²;Kawalerka Mieszkanie 1 Pokój Grzegórzki Mpec 26m2;Kraków , Grzegórzki, Dąbie;2 pokoje;297 000 zł;26 m²;11 423 zł/m²;https://www.otodom.pl/oferta/kawalerka-mieszkanie-1-pokoj-grzegorzki-mpec-26m2-ID44OL0.html#de3f47c1fe;2020-02-23 10:09:35.983349;4;4;1960
46 m²;Mieszkanie 46m Adama Bochenka od WŁAŚCICIELA;Kraków , Podgórze Duchackie, Piaski Wielkie;3 pokoje;446 000 zł;46 m²;9 696 zł/m²;https://www.otodom.pl/oferta/mieszkanie-46m-adama-bochenka-od-wlasciciela-ID44FtY.html#de3f47c1fe;2020-02-23 10:09:37.179573; 10;11;2019
102 m²;102 m2+skosy+balkon; piękne dwupoziom Żabiniec;Kraków , Krowodrza;4 pokoje;793 000 zł;102 m²;7 775 zł/m²;https://www.otodom.pl/oferta/102-m2-skosy-balkon-piekne-dwupoziom-zabiniec-ID440FP.html#de3f47c1fe;2020-02-23 10:09:38.162086;;;
52,48 m²;Wchodzisz i Mieszkasz do 3 pok, Majora.P.Czerwony.;Kraków , Prądnik Czerwony;3 pokoje;455 000 zł;52,48 m²;8 670 zł/m²;https://www.otodom.pl/oferta/wchodzisz-i-mieszkasz-do-3-pok-majora-p-czerwony-ID445d5.html#de3f47c1fe;2020-02-23 10:09:39.256037;4;4;1984
71,46 m²;Ruczaj. Grota-Roweckiego. 72m, 4/4. (Z potencjałem;Kraków , Dębniki, Ruczaj;4 pokoje;569 000 zł;71,46 m²;7 962 zł/m²;https://www.otodom.pl/oferta/ruczaj-grota-roweckiego-72m-4-4-z-potencjalem-ID44kpG.html#de3f47c1fe;2020-02-23 10:09:40.027506;4;4;1989
50 m²;Krowodrza. Fieldorfa-Nila.2pok.Kup i Wynajmuj.;Kraków , Krowodrza;2 pokoje;540 000 zł;50 m²;10 800 zł/m²;https://www.otodom.pl/oferta/krowodrza-fieldorfa-nila-2pok-kup-i-wynajmuj-ID44KSp.html#de3f47c1fe;2020-02-23 10:09:41.195398;3;7;2005
48,23 m²;Apartamentowiec" Super Lokalizacja"ul.Bochenka";Kraków , Podgórze Duchackie, Piaski Wielkie;2 pokoje;450 000 zł;48,23 m²;9 330 zł/m²;https://www.otodom.pl/oferta/apartamentowiec-super-lokalizacja-ul-bochenka-ID44LLk.html#de3f47c1fe;2020-02-23 10:09:42.275738;4;6;2011
68 m²;3 pokoje z Garażem , zielona część Krakowa Gotowe;Kraków , Bieżanów-Prokocim;3 pokoje;398 000 zł;68 m²;5 853 zł/m²;https://www.otodom.pl/oferta/3-pokoje-z-garazem-zielona-czesc-krakowa-gotowe-ID44OJz.html#de3f47c1fe;2020-02-23 10:09:43.203904;3;4;2019
47 m²;Gotowe do odbioru 2pok z Tarasem i garażem w cenie;Kraków , Bieżanów-Prokocim;2 pokoje;312 000 zł;47 m²;6 638 zł/m²;https://www.otodom.pl/oferta/gotowe-do-odbioru-2pok-z-tarasem-i-garazem-w-cenie-ID44OJx.html#de3f47c1fe;2020-02-23 10:09:43.835280;1;4;2019
33,50 m²;Gotowe Mieszkanie z opcją 2 pokoju Garaż Bieżanów;Kraków , Bieżanów-Prokocim;1 pokój;223 000 zł;33,50 m²;6 657 zł/m²;https://www.otodom.pl/oferta/gotowe-mieszkanie-z-opcja-2-pokoju-garaz-biezanow-ID44OJy.html#de3f47c1fe;2020-02-23 10:09:45.037092;0;4;2019
130 m²;Penthouse z tarasem, Wisła, 5 min na Wawel, Gotowe;Kraków , Dębniki, Stare Dębniki;4 pokoje;2 690 000 zł;130 m²;20 692 zł/m²;https://www.otodom.pl/oferta/penthouse-z-tarasem-wisla-5-min-na-wawel-gotowe-ID4400d.html#de3f47c1fe;2020-02-23 10:09:46.489281;3;3;2019
30 m²;Mieszkanie do wprowadzenia - Rondo Matecznego;Kraków , Podgórze;1 pokój;369 900 zł;30 m²;12 330 zł/m²;https://www.otodom.pl/oferta/mieszkanie-do-wprowadzenia-rondo-matecznego-ID440Oz.html#de3f47c1fe;2020-02-23 10:09:47.594688;3;5;1997
59,20 m²;4 pokoje/59m2/Borek Fałęcki/ul.Kułakowskiego/1999;Kraków , Łagiewniki-Borek Fałęcki, Borek Fałęcki;4 pokoje;449 000 zł;59,20 m²;7 584 zł/m²;https://www.otodom.pl/oferta/4-pokoje-59m2-borek-falecki-ul-kulakowskiego-1999-ID44OJe.html#de3f47c1fe;2020-02-23 10:09:49.269824;3;3;1999
38 m²;2 pokoje/38m2/balkon/Kliny/Borkowska/2008;Kraków , Dębniki, Kliny-Zacisze;2 pokoje;359 000 zł;38 m²;9 447 zł/m²;https://www.otodom.pl/oferta/2-pokoje-38m2-balkon-kliny-borkowska-2008-ID44KX4.html#de3f47c1fe;2020-02-23 10:09:50.184143;;;
31 m²;2 pokoje/31m2 / Łagiewniki / ul.Borsucza;Kraków , Łagiewniki-Borek Fałęcki, Łagiewniki;2 pokoje;306 000 zł;31 m²;9 871 zł/m²;https://www.otodom.pl/oferta/2-pokoje-31m2-lagiewniki-ul-borsucza-ID44KPf.html#de3f47c1fe;2020-02-23 10:09:51.378064;;;
50,20 m²;3 pokoje/50 m2/loggia/Bieżanów-Prokocim/Snycerska.;Kraków , Bieżanów-Prokocim;3 pokoje;410 000 zł;50,20 m²;8 167 zł/m²;https://www.otodom.pl/oferta/3-pokoje-50-m2-loggia-biezanow-prokocim-snycerska-ID44COi.html#de3f47c1fe;2020-02-23 10:09:52.400680;1;4;1970
48,20 m²;2 pok /48 M 2/ balkon/do wejścia/ Kurdwanów /ul. H;Kraków , Podgórze Duchackie, Kurdwanów;2 pokoje;429 000 zł;48,20 m²;8 900 zł/m²;https://www.otodom.pl/oferta/2-pok-48-m-2-balkon-do-wejscia-kurdwanow-ul-h-ID44AHI.html#de3f47c1fe;2020-02-23 10:09:53.286347;1;10;1979
57 m²;2 pok /56 m2/ balkon/do wejścia/ Osiedle Oświeceni;Kraków , Nowa Huta, Czyżyny;2 pokoje;499 900 zł;57 m²;8 770 zł/m²;https://www.otodom.pl/oferta/2-pok-56-m2-balkon-do-wejscia-osiedle-oswieceni-ID44vUk.html#de3f47c1fe;2020-02-23 10:09:54.288345;7;11;2007
47 m²;3 pok./47 m2/po remoncie/ Grzegórzki /Dąbie/Aleja;Kraków , Grzegórzki, Dąbie;3 pokoje;459 000 zł;47 m²;9 766 zł/m²;https://www.otodom.pl/oferta/3-pok-47-m2-po-remoncie-grzegorzki-dabie-aleja-ID44vUj.html#de3f47c1fe;2020-02-23 10:09:55.403148;0;4;1975
