;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;pietro;l_pieter;rok_bud;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
102 m²;Mieszkanie cały segment Kraków Zielonki z ogrodem;Kraków , małopolskie;5 pokoi;520000.0;102.0;5098.0;https://www.otodom.pl/oferta/mieszkanie-caly-segment-krakow-zielonki-z-ogrodem-ID3UosE.html#de3f47c1fe;2020-02-23 10:09:31.610895;0.0;2.0;2019.0;Zielonki;Kraków , małopolskie, Zielonki;Kraków Batowice, Szmaragdowa, Dziekanowice, gmina Zielonki, powiat krakowski, województwo małopolskie, 31-670, Polska;(50.1075321, 19.9954682, 0.0);50.1075321;19.9954682;0.0;POINT (571161.0472199975 249395.2047672737)
46 m²;Mieszkanie 46m Adama Bochenka od WŁAŚCICIELA;Kraków , Podgórze Duchackie, Piaski Wielkie;3 pokoje;446000.0;46.0;9696.0;https://www.otodom.pl/oferta/mieszkanie-46m-adama-bochenka-od-wlasciciela-ID44FtY.html#de3f47c1fe;2020-02-23 10:09:37.179573;10.0;11.0;2019.0;Bochenka;Kraków , Podgórze Duchackie, Piaski Wielkie, Bochenka;Bochenka N/Ż, Łużycka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-658, Polska;(50.0102723, 19.9711669, 0.0);50.0102723;19.9711669;0.0;POINT (569564.4003208186 238561.9453801522)
71,46 m²;Ruczaj. Grota-Roweckiego. 72m, 4/4. (Z potencjałem;Kraków , Dębniki, Ruczaj;4 pokoje;569000.0;71.46;7962.0;https://www.otodom.pl/oferta/ruczaj-grota-roweckiego-72m-4-4-z-potencjalem-ID44kpG.html#de3f47c1fe;2020-02-23 10:09:40.027506;4.0;4.0;1989.0;Grota-Roweckiego;Kraków , Dębniki, Ruczaj, Grota-Roweckiego;Generała Stefana Grota-Roweckiego, Osiedle Ruczaj-Zaborze, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-376, Polska;(50.0293477, 19.91197, 0.0);50.0293477;19.91197;0.0;POINT (565298.3461236949 240628.7681384189)
30 m²;Mieszkanie do wprowadzenia - Rondo Matecznego;Kraków , Podgórze;1 pokój;369900.0;30.0;12330.0;https://www.otodom.pl/oferta/mieszkanie-do-wprowadzenia-rondo-matecznego-ID440Oz.html#de3f47c1fe;2020-02-23 10:09:47.594688;3.0;5.0;1997.0;Matecznego;Kraków , Podgórze, Matecznego;Rondo Antoniego Matecznego, Mateczny, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-524, Polska;(50.0367797, 19.9405272, 0.0);50.0367797;19.9405272;0.0;POINT (567332.6572123085 241480.1638806006)
53 m²;2 pok. /53m2/Podgórze/Kurdwanów/ul. Bujaka;Kraków , Podgórze Duchackie, Kurdwanów;2 pokoje;399000.0;53.0;7528.0;https://www.otodom.pl/oferta/2-pok-53m2-podgorze-kurdwanow-ul-bujaka-ID4489u.html#de3f47c1fe;2020-02-23 10:09:57.939165;3.0;4.0;2005.0;Bujaka;Kraków , Podgórze Duchackie, Kurdwanów, Bujaka;Bujaka, Kurdwanów, Podgórze Duchackie, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, Polska;(50.009635200000005, 19.948395750000003, 0.0);50.009635200000005;19.948395750000003;0.0;POINT (567934.2337184104 238470.1971203024)
21 m²;Kawalerka okolica placu Bieńczyckiego;Kraków , Nowa Huta;1 pokój;199000.0;21.0;9476.0;https://www.otodom.pl/oferta/kawalerka-okolica-placu-bienczyckiego-ID44OJ4.html#de3f47c1fe;2020-02-23 10:09:58.978575;1.0;3.0;1965.0;Bieńczyckie;Kraków , Nowa Huta, Bieńczyckie;Planty Bieńczyckie, Bieńczyce, Kraków, województwo małopolskie, 31-944, Polska;(50.080262, 20.0278412, 0.0);50.080262;20.0278412;0.0;POINT (573516.903503144 246395.4899430936)
57,60 m²;ZIELONKI !! Popielate Wzgórza 2.0!! II ETAP !!;Kraków , Prądnik Biały;3 pokoje;409000.0;57.6;7101.0;https://www.otodom.pl/oferta/zielonki-popielate-wzgorza-2-0-ii-etap-ID40Mtj.html#de3f47c1fe;2020-02-23 10:10:00.029821;0.0;2.0;2019.0;Popiela;Kraków , Prądnik Biały, Popiela;Kronikarza Galla, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-053, Polska;(50.0744391, 19.9149159, 0.0);50.0744391;19.9149159;0.0;POINT (565447.914190442 245643.2424971201)
45 m²;Sprzedam 45 m2 Czyżyny 2 Pułku Lotniczego;Kraków , Nowa Huta, Czyżyny;1 pokój;429000.0;45.0;9533.0;https://www.otodom.pl/oferta/sprzedam-45-m2-czyzyny-2-pulku-lotniczego-ID44AOW.html#bcc2421ba9;2020-02-23 10:10:11.622077;1.0;7.0;2000.0;Lotniczego;Kraków , Nowa Huta, Czyżyny, Lotniczego;Osiedle 2. Pułku Lotniczego, Czyżyny, Kraków, województwo małopolskie, Polska;(50.077365900000004, 20.008722110064895, 0.0);50.077365900000004;20.008722110064895;0.0;POINT (572153.7719664697 246054.9480282031)
63 m²;2 pokoje, osobna kuchnia, 63 m2, Kraków Rydlówka;Kraków , Podgórze;2 pokoje;598437.0;63.0;9499.0;https://www.otodom.pl/oferta/2-pokoje-osobna-kuchnia-63-m2-krakow-rydlowka-ID44Bhy.html#bcc2421ba9;2020-02-23 10:10:12.395310;0.0;6.0;2008.0;Rydlówka;Kraków , Podgórze, Rydlówka;Rydlówka, Mateczny, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-415, Polska;(50.0352782, 19.9349524, 0.0);50.0352782;19.9349524;0.0;POINT (566935.6490624668 241308.2663329504)
64,68 m²;Umeblowane, gotowe,3-pok.mieszkanie na Zabłociu;Kraków , Podgórze, Zabłocie;3 pokoje;779000.0;64.68;12044.0;https://www.otodom.pl/oferta/umeblowane-gotowe-3-pok-mieszkanie-na-zablociu-ID44OCd.html#bcc2421ba9;2020-02-23 10:10:17.861088;1.0;7.0;2005.0;Zabłocie;Kraków , Podgórze, Zabłocie, Zabłocie;Zabłocie, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-701, Polska;(50.0504146, 19.9594445, 0.0);50.0504146;19.9594445;0.0;POINT (568667.4764171189 243012.885782999)
52 m²;Sprzedam mieszkanie 52m2, Dębniki ul. Bałuckiego 5;Kraków , Dębniki;2 pokoje;639000.0;52.0;12288.0;https://www.otodom.pl/oferta/sprzedam-mieszkanie-52m2-debniki-ul-baluckiego-5-ID44GqJ.html#e7b1ebfb0e;2020-02-23 10:10:38.019847;1.0;4.0;1970.0;Bałuckiego;Kraków , Dębniki, Bałuckiego;Konfederacka, Michała Bałuckiego, Dębniki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-104, Polska;(50.0496526, 19.9258888, 0.0);50.0496526;19.9258888;0.0;POINT (566266.9802198876 242897.8969186656)
58,88 m²;3-pokojowe mieszkanie przy pl. Bohaterów Getta;Kraków , Podgórze;3 pokoje;662704.0;58.88;11255.0;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-przy-pl-bohaterow-getta-ID42H3N.html#e7b1ebfb0e;2020-02-23 10:10:44.698971;3.0;4.0;2019.0;Getta;Kraków , Podgórze, Getta;Plac Bohaterów Getta, Ludwinów, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, Polska;(50.0467232, 19.95438111538139, 0.0);50.0467232;19.95438111538139;0.0;POINT (568310.3352903129 242597.9485702962)
57,36 m²;ul. Czarnogórska 18, 57 m2 dwa balkony + garaż;Kraków , Podgórze Duchackie, Wola Duchacka;3 pokoje;545000.0;57.36;9501.0;https://www.otodom.pl/oferta/ul-czarnogorska-18-57-m2-dwa-balkony-garaz-ID40HtC.html#e7b1ebfb0e;2020-02-23 10:10:49.742065;1.0;3.0;2009.0;Czarnogórska;Kraków , Podgórze Duchackie, Wola Duchacka, Czarnogórska;Czarnogórska, Wola Duchacka Wschód, Podgórze Duchackie, Kraków, województwo małopolskie, 30-630, Polska;(50.0197183, 19.9709187, 0.0);50.0197183;19.9709187;0.0;POINT (569532.9887365557 239611.625416046)
46,51 m²;Przytulne do wprowadzenia 51m Chełmońskiego;Kraków , Prądnik Biały;2 pokoje;439000.0;46.51;9439.0;https://www.otodom.pl/oferta/przytulne-do-wprowadzenia-51m-chelmonskiego-ID44dnl.html#e7b1ebfb0e;2020-02-23 10:10:57.541008;2.0;2.0;2008.0;Chełmońskiego;Kraków , Prądnik Biały, Chełmońskiego;Józefa Chełmońskiego, Bronowice Wielkie, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 31-346, Polska;(50.0983351, 19.890461, 0.0);50.0983351;19.890461;0.0;POINT (563666.9097622773 248278.1576568913)
