;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry;dst_center;vist_dist;trams_dist;cena_za_metr2
0;Kraków – Nowa Huta – os. Centrum E– 74 m2;Kraków , Nowa Huta;4 pokoje;519000.0;74.0;7014.0;https://www.otodom.pl/oferta/krakow-nowa-huta-os-centrum-e-74-m2-ID44sdX.html#09c0ecd350;2020-02-02 23:18:09.156959;"""Kraków""";"Kraków, Kraków , Nowa Huta, ""Kraków""";Kraków Nowa Huta, Organki, Kombinat, Nowa Huta, Kraków, województwo małopolskie, 31-990, Polska;(50.0899571, 20.1269749, 0.0);50.0899571;20.1269749;0.0;POINT (580591.0830060896 247575.3607144151);13865;4889.870233355072;2022.143400059416;7014.0
1;Starowiślna - Stare Miasto - Kraków;Kraków , Stare Miasto;2 pokoje;720000.0;62.0;11613.0;https://www.otodom.pl/oferta/starowislna-stare-miasto-krakow-ID44s6L.html#09c0ecd350;2020-02-02 23:18:09.156959;Starowiślna;Kraków, Kraków , Stare Miasto, Starowiślna;Starowiślna, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-038, Polska;(50.0560672, 19.9457877, 0.0);50.0560672;19.9457877;0.0;POINT (567682.1226694608 243628.7109473413);781;861.0404787494102;113.87371199977093;11613.0
2;3 pok. z ogródkiem na ul. Adama Prażmowskiego;Kraków , Dębniki, Sidzina;3 pokoje;359000.0;55.0;6527.0;https://www.otodom.pl/oferta/3-pok-z-ogrodkiem-na-ul-adama-prazmowskiego-ID44svV.html#09c0ecd350;2020-02-02 23:18:09.156959;Prażmowskiego;Kraków, Kraków , Dębniki, Sidzina, Prażmowskiego;Adama Prażmowskiego, Sidzina, Dębniki, Kraków, województwo małopolskie, 30-399, Polska;(49.9831768, 19.8733578, 0.0);49.9831768;19.8733578;0.0;POINT (562593.6295408703 235463.9017473655);9809;6125.559628210259;4030.7909740609944;6527.0
3;2 Pok Garderoba Garaż Balkon Cz. Prądnik Marchołta;Kraków , Prądnik Czerwony;2 pokoje;569000.0;50.4;11290.0;https://www.otodom.pl/oferta/2-pok-garderoba-garaz-balkon-cz-pradnik-marcholta-ID44mvc.html#09c0ecd350;2020-02-02 23:18:09.156959;Prądnika;Kraków, Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.986793558960628;0.0;POINT (570561.786040339 247810.2744327188);5006;3677.9595062709154;707.4642569890632;11290.0
4;Mieszkanie 36,9m2 świeżo po remoncie. Mały Płaszów;Kraków , Podgórze;2 pokoje;370000.0;36.9;10027.0;https://www.otodom.pl/oferta/mieszkanie-36-9m2-swiezo-po-remoncie-maly-plaszow-ID44uEQ.html#09c0ecd350;2020-02-02 23:18:09.156959;Płaszów;Kraków, Kraków , Podgórze, Płaszów;Płaszów, Podgórze, Kraków, województwo małopolskie, Polska;(50.039926949999995, 19.99481075250016, 0.0);50.03992695;19.99481075250016;0.0;POINT (571214.1130514935 241880.2870066892);4684;1050.1675202794804;165.25334876802833;10027.0
5;Nowa inwestycja - Kazimierz Krakowska/Skawińska;Kraków , Stare Miasto, Kazimierz;2 pokoje;634660.0;48.82;13000.0;https://www.otodom.pl/oferta/nowa-inwestycja-kazimierz-krakowska-skawinska-ID44uEx.html#09c0ecd350;2020-02-02 23:18:09.156959;Kazimierza;Kraków, Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.05123070000001;19.9469375;0.0;POINT (567771.2149040747 243092.1779909041);1260;395.9164345055303;147.8382120340047;13000.0
6;Komfortowy apartament przy Zakrzówku;Kraków , Dębniki;2 pokoje;539000.0;56.0;9625.0;https://www.otodom.pl/oferta/komfortowy-apartament-przy-zakrzowku-ID44r1G.html#09c0ecd350;2020-02-02 23:18:09.156959;Zakrzówek;Kraków, Kraków , Dębniki, Zakrzówek;Zakrzówek, Dębniki, Kraków, województwo małopolskie, 30-346, Polska;(50.0418746, 19.9197934, 0.0);50.04187460000001;19.9197934;0.0;POINT (565841.3712397455 242027.9884201242);2492;1019.3479179990037;311.81983016025816;9625.0
7;NOWA Inwestycja - Kazimierz, Miodowa/Krakowska;Kraków , Stare Miasto, Kazimierz;2 pokoje;483000.0;32.2;15000.0;https://www.otodom.pl/oferta/nowa-inwestycja-kazimierz-miodowa-krakowska-ID44uBN.html#09c0ecd350;2020-02-02 23:18:09.156959;Kazimierza;Kraków, Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.05123070000001;19.9469375;0.0;POINT (567771.2149040747 243092.1779909041);1260;395.9164345055303;147.8382120340047;15000.0
8;Mieszkanie 84 m2 4pok. Kraków Żabiniec;Kraków , Prądnik Biały, Żabiniec;3 pokoje;590000.0;84.0;7024.0;https://www.otodom.pl/oferta/mieszkanie-84-m2-4pok-krakow-zabiniec-ID44uyS.html#09c0ecd350;2020-02-02 23:18:09.156959;"""Kraków""";"Kraków, Kraków , Prądnik Biały, Żabiniec, ""Kraków""";FUP Kraków 73, 1, Ludwika Solskiego, Osiedle Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-200, Polska;(50.0844088, 19.9449087, 0.0);50.0844088;19.9449087;0.0;POINT (567579.3790518836 246778.0815080479);2649;3416.9380950071495;649.3151870306793;7024.0
9;Apartament 3 pokojowy, 63 m, Grzegórzki Kotlarska;Kraków , Grzegórzki;3 pokoje;674800.0;63.0;10711.0;https://www.otodom.pl/oferta/apartament-3-pokojowy-63-m-grzegorzki-kotlarska-ID44pdH.html#09c0ecd350;2020-02-02 23:18:09.156959;Grzegórzeckie;Kraków, Kraków , Grzegórzki, Grzegórzeckie;Rondo Grzegórzeckie, Grzegórzecka, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31-539, Polska;(50.05760175, 19.957833465730346, 0.0);50.05760175;19.957833465730342;0.0;POINT (568541.9372308353 243810.2551311059);1465;532.1757339388414;8.926368849360403;10711.0
10;Mieszkanie przy ul. Podkowińskiego;Kraków , Prądnik Biały, Azory;2 pokoje;680000.0;65.92;10316.0;https://www.otodom.pl/oferta/mieszkanie-przy-ul-podkowinskiego-ID44qYC.html#09c0ecd350;2020-02-03 07:48:28.672292;Podkowińskiego;Kraków, Kraków , Prądnik Biały, Azory, Podkowińskiego;Władysława Podkowińskiego, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-321, Polska;(50.0858676, 19.8953088, 0.0);50.0858676;19.895308800000002;0.0;POINT (564030.1285457452 246896.531687161);4114;3952.4325989614813;644.6155680430904;10316.0
11;Atrakcyjne mieszkanie Stare Dębniki;Kraków , Dębniki, Stare Dębniki;2 pokoje;608600.0;34.0;17900.0;https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-stare-debniki-ID44tL5.html#09c0ecd350;2020-02-03 07:48:28.672292;Dębnicki;Kraków, Kraków , Dębniki, Stare Dębniki, Dębnicki;Park Dębnicki, Dębniki, Kraków, województwo małopolskie, Polska;(50.0495234, 19.91693092494888, 0.0);50.0495234;19.91693092494888;0.0;POINT (565626.040058322 242875.6318850024);1973;147.50905019145674;346.35659507003743;15000.0
12;Studio W Suterenie - Okolica Pl. Bohaterów Getta;Kraków , Podgórze, Stare Podgórze;1 pokój;180000.0;46.0;8531.0;https://www.otodom.pl/oferta/studio-w-suterenie-okolica-pl-bohaterow-getta-ID44uOh.html#09c0ecd350;2020-02-03 07:48:28.672292;Getta;Kraków, Kraków , Podgórze, Stare Podgórze, Getta;Plac Bohaterów Getta, Podgórze, Kraków, województwo małopolskie, Polska;(50.0467232, 19.95438111538139, 0.0);50.0467232;19.95438111538139;0.0;POINT (568310.3352903129 242597.9485702962);1972;221.13563694464628;44.99955274645287;8531.0
13;2 Pokoje W Suterenie - Okolica Pl. Bohaterów Getta;Kraków , Podgórze, Stare Podgórze;2 pokoje;184000.0;75.0;8479.0;https://www.otodom.pl/oferta/2-pokoje-w-suterenie-okolica-pl-bohaterow-getta-ID44uOg.html#09c0ecd350;2020-02-03 07:48:28.672292;Getta;Kraków, Kraków , Podgórze, Stare Podgórze, Getta;Plac Bohaterów Getta, Podgórze, Kraków, województwo małopolskie, Polska;(50.0467232, 19.95438111538139, 0.0);50.0467232;19.95438111538139;0.0;POINT (568310.3352903129 242597.9485702962);1972;221.13563694464628;44.99955274645287;8479.0
14;3 pokoje na Zabłociu;Kraków , Podgórze;3 pokoje;997000.0;75.0;13293.0;https://www.otodom.pl/oferta/3-pokoje-na-zablociu-ID44njI.html#09c0ecd350;2020-02-03 07:48:28.672292;Zabłocie;Kraków, Kraków , Podgórze, Zabłocie;Zabłocie, Podgórze, Kraków, województwo małopolskie, 30-705, Polska;(50.0510909, 19.9735024, 0.0);50.0510909;19.973502399999997;0.0;POINT (569672.604837706 243101.0676127635);2764;85.35957135310424;481.0420837788588;13293.0
15;Mieszkanie na Ruczaju - 2 pokoje, 46m2;Kraków , Dębniki, Ruczaj;2 pokoje;430000.0;46.0;9348.0;https://www.otodom.pl/oferta/mieszkanie-na-ruczaju-2-pokoje-46m2-ID44uMy.html#09c0ecd350;2020-02-03 07:48:28.672292;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;9348.0
16;Gotowe mieszkanie |Kraków |Pachońskiego |Bezpośred;Kraków , Prądnik Biały;3 pokoje;415000.0;50.0;8300.0;https://www.otodom.pl/oferta/gotowe-mieszkanie-krakow-pachonskiego-bezposred-ID44nrS.html#09c0ecd350;2020-02-03 07:49:50.464494;Pachońskiego;Kraków, Kraków , Prądnik Biały, Pachońskiego;Pachońskiego, Henryka Pachońskiego, Prądnik Biały, Kraków, województwo małopolskie, 31-223, Polska;(50.0952985, 19.9315645, 0.0);50.0952985;19.9315645;0.0;POINT (566609.9270383697 247976.4880002327);3841;4474.9773843647545;725.7837099644;8300.0
17;Mieszkanie-Nowa Huta, os Urocze, 68.50m2, 3 pokoje;Kraków , Nowa Huta;3 pokoje;500000.0;68.48;7301.0;https://www.otodom.pl/oferta/mieszkanie-nowa-huta-os-urocze-68-50m2-3-pokoje-ID44tsZ.html#09c0ecd350;2020-02-03 07:51:24.001299;Urocze;Kraków, Kraków , Nowa Huta, Urocze;Osiedle Urocze, Nowa Huta, Kraków, województwo małopolskie, Polska;(50.0775, 20.0366667, 0.0);50.0775;20.036666699999998;0.0;POINT (574152.4005847174 246097.2179559674);7277;2430.617486009793;386.04473980587636;7301.0
18;2 oddzielne pok. na ul. Witosa;Kraków , Podgórze Duchackie;2 pokoje;369000.0;49.0;7531.0;https://www.otodom.pl/oferta/2-oddzielne-pok-na-ul-witosa-ID44nWu.html#09c0ecd350;2020-02-03 07:56:39.774683;Witosa;Kraków, Kraków , Podgórze Duchackie, Witosa;Witosa, Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, Polska;(50.01241645, 19.957117557158405, 0.0);50.01241645;19.957117557158405;0.0;POINT (568555.0158340409 238787.2895417269);5572;3695.0258458246126;21.62945584645865;7531.0
19;Wysoki standard na Zwierzynieckiej;Kraków , Stare Miasto;2 pokoje;890000.0;54.6;16300.0;https://www.otodom.pl/oferta/wysoki-standard-na-zwierzynieckiej-ID44lfS.html#09c0ecd350;2020-02-03 07:56:39.774683;Zwierzyniecki;Kraków, Kraków , Stare Miasto, Zwierzyniecki;Muzeum Narodowe w Krakowie, 1, Aleja 3 Maja, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, województwo małopolskie, 30-062, Polska;(50.06043135, 19.923620120041726, 0.0);50.06043135;19.923620120041726;0.0;POINT (566089.8027582596 244093.943053714);1028;717.4344316021419;127.74260714715376;15000.0
20;3 pokoje na 2 piętrze Wola Duchacka (Właściciel);Kraków , Podgórze Duchackie, Wola Duchacka;3 pokoje;461000.0;53.08;8685.0;https://www.otodom.pl/oferta/3-pokoje-na-2-pietrze-wola-duchacka-wlasciciel-ID44phL.html#b7e9c32f2c;2020-02-03 07:56:39.774683;Duchacka;Kraków, Kraków , Podgórze Duchackie, Wola Duchacka, Duchacka;Kraków Bonarka, Kładka pieszo-rowerowa, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-416, Polska;(50.0293189, 19.9462275, 0.0);50.0293189;19.9462275;0.0;POINT (567751.2342442736 240656.0522081703);3571;1693.0379935073563;671.4454283868005;8685.0
21;Własne Miejsce - Piaski Nowe Bochenka 42,18 m.;Kraków , Podgórze Duchackie;2 pokoje;320568.0;42.18;7600.0;https://www.otodom.pl/oferta/wlasne-miejsce-piaski-nowe-bochenka-42-18-m-ID44uwK.html#b7e9c32f2c;2020-02-03 07:56:39.774683;Bochenka;Kraków, Kraków , Podgórze Duchackie, Bochenka;Adama Bochenka, Podlesie, Podgórze Duchackie, Kraków, województwo małopolskie, 30-686, Polska;(50.013036, 19.979095, 0.0);50.013036;19.979095;0.0;POINT (570128.2560410569 238876.5323628979);6088;4167.460167879793;600.4017862568985;7600.0
22;"osiedle "" Cegielniane """;Kraków , Łagiewniki-Borek Fałęcki;2 pokoje;360000.0;40.77;8830.0;https://www.otodom.pl/oferta/osiedle-cegielniane-ID44uue.html#b7e9c32f2c;2020-02-03 07:56:39.774683;Osiedle;Kraków, Kraków , Łagiewniki-Borek Fałęcki, Osiedle;Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-418, Polska;(50.0199633, 19.9294446, 0.0);50.0199633;19.929444600000004;0.0;POINT (566562.5010926846 239601.1100098249);4604;2822.079298482141;347.2226653433688;8830.0
23;Atrakcyjne dwupoziomowe Kordiana;Kraków , Podgórze Duchackie, Kurdwanów;4 pokoje;630000.0;91.87;6858.0;https://www.otodom.pl/oferta/atrakcyjne-dwupoziomowe-kordiana-ID44uu4.html#b7e9c32f2c;2020-02-03 07:56:39.774683;Kordiana;Kraków, Kraków , Podgórze Duchackie, Kurdwanów, Kordiana;Kordiana, Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-653, Polska;(50.0102046, 19.9634521, 0.0);50.0102046;19.9634521;0.0;POINT (569011.8974553518 238547.2721252525);5934;4065.860282737541;371.44246424931396;6858.0
24;3 pokoje, zielona część Bronowic Gotowe;Kraków , Prądnik Biały, Bronowice Wielkie;3 pokoje;396000.0;57.0;6947.0;https://www.otodom.pl/oferta/3-pokoje-zielona-czesc-bronowic-gotowe-ID44oHY.html#b7e9c32f2c;2020-02-03 07:56:39.774683;Dzielna;Kraków, Kraków , Prądnik Biały, Bronowice Wielkie, Dzielna;Dzielna, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-346, Polska;(50.0985888, 19.8879762, 0.0);50.0985888;19.8879762;0.0;POINT (563488.9167097276 248304.2412467012);5496;5456.637741617578;1871.9352129974397;6947.0
25;Nowoczesne mieszkanie - Ruczaj - ul. Piltza 3 pok;Kraków , Dębniki, Ruczaj;3 pokoje;597412.0;60.06;9947.0;https://www.otodom.pl/oferta/nowoczesne-mieszkanie-ruczaj-ul-piltza-3-pok-ID44sPJ.html#09c0ecd350;2020-02-03 07:56:39.774683;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;9947.0
